rank,kanji,weighted_freq,weighted_freq_pct,cum_pct,word_count
394,頭,0.000247,0.0578,83.4301,1
395,詰,0.000246,0.0577,83.4877,1
396,探,0.000245,0.0574,83.5452,2
397,派,0.000245,0.0574,83.6026,3
398,例,0.000245,0.0572,83.6598,3
399,井,0.000244,0.0571,83.7169,5
400,状,0.000243,0.0570,83.7739,2
401,参,0.000243,0.0568,83.8308,2
402,注,0.000241,0.0563,83.8871,2
403,被,0.000240,0.0561,83.9432,2
404,撥,0.000238,0.0558,83.9989,1
405,危,0.000235,0.0550,84.0539,2
406,神,0.000234,0.0548,84.1087,3
407,徒,0.000233,0.0545,84.1632,1
408,写,0.000232,0.0542,84.2174,1
409,村,0.000231,0.0541,84.2715,4
410,隠,0.000231,0.0540,84.3255,2
411,輩,0.000231,0.0540,84.3795,1
412,護,0.000230,0.0539,84.4334,2
413,視,0.000230,0.0539,84.4872,3
414,存,0.000229,0.0537,84.5409,2
415,休,0.000229,0.0536,84.5946,2
416,怒,0.000228,0.0534,84.6480,1
417,糸,0.000227,0.0532,84.7012,1
418,飯,0.000226,0.0529,84.7542,3
419,毎,0.000225,0.0527,84.8069,2
420,倒,0.000223,0.0523,84.8592,3
421,原,0.000223,0.0522,84.9113,3
422,伯,0.000223,0.0521,84.9635,4
423,佐,0.000222,0.0521,85.0155,4
424,束,0.000222,0.0519,85.0675,1
425,腹,0.000222,0.0519,85.1194,2
426,寄,0.000219,0.0512,85.1705,2
427,諱,0.000218,0.0511,85.2217,1
428,歌,0.000218,0.0511,85.2727,2
429,斯,0.000218,0.0510,85.3237,1
430,迷,0.000217,0.0509,85.3746,3
431,欄,0.000216,0.0506,85.4252,1
432,捨,0.000214,0.0502,85.4754,1
433,隣,0.000213,0.0499,85.5253,2
434,夏,0.000213,0.0499,85.5752,3
435,罪,0.000213,0.0498,85.6250,2
436,辞,0.000212,0.0496,85.6745,1
437,竹,0.000212,0.0495,85.7241,1
438,刀,0.000212,0.0495,85.7736,1
439,借,0.000211,0.0494,85.8231,2
440,果,0.000211,0.0494,85.8725,2
441,砲,0.000205,0.0480,85.9204,1
442,旦,0.000204,0.0479,85.9683,1
443,那,0.000204,0.0479,86.0162,1
444,完,0.000204,0.0479,86.0640,3
445,撮,0.000204,0.0478,86.1118,2
446,救,0.000204,0.0478,86.1596,2
447,黙,0.000204,0.0477,86.2073,1
448,患,0.000203,0.0475,86.2548,1
449,望,0.000203,0.0475,86.3023,2
450,農,0.000202,0.0473,86.3496,2
451,念,0.000202,0.0473,86.3969,2
452,在,0.000202,0.0472,86.4441,2
453,口,0.000199,0.0466,86.4908,2
454,断,0.000198,0.0464,86.5372,2
455,裏,0.000198,0.0464,86.5836,2
456,側,0.000198,0.0464,86.6300,1
457,局,0.000197,0.0462,86.6762,2
458,宝,0.000197,0.0461,86.7223,1
459,七,0.000197,0.0460,86.7683,1
460,県,0.000196,0.0460,86.8143,2
461,計,0.000196,0.0459,86.8602,2
462,恐,0.000195,0.0457,86.9060,3
463,遠,0.000195,0.0457,86.9516,4
464,槍,0.000193,0.0451,86.9968,1
465,都,0.000192,0.0450,87.0418,3
466,戸,0.000192,0.0450,87.0867,3
467,若,0.000192,0.0449,87.1316,1
468,十,0.000192,0.0449,87.1765,2
469,赤,0.000191,0.0448,87.2214,2
470,余,0.000191,0.0446,87.2660,2
