rank,word,frequency,cum_pct,region
559,しまった,0.00022644,63.3225,R3
560,読む,0.00022621,63.3451,R3
561,東京,0.00022489,63.3676,R3
562,奥さん,0.00022354,63.3899,R3
563,最近,0.00022331,63.4123,R3
564,俺たち,0.00022269,63.4345,R3
565,約束,0.00022187,63.4567,R3
566,見つける,0.00022175,63.4789,R3
567,母親,0.00022157,63.5011,R3
568,なるほど,0.00021873,63.5229,R3
569,あの子,0.00021855,63.5448,R3
570,諱む,0.00021835,63.5666,R3
571,送る,0.00021808,63.5884,R3
572,斯う言う,0.00021770,63.6102,R3
573,くらい,0.00021750,63.6320,R3
574,息子,0.00021653,63.6536,R3
575,欄,0.00021623,63.6752,R3
576,ただいま,0.00021568,63.6968,R3
577,車,0.00021553,63.7184,R3
578,件,0.00021530,63.7399,R3
579,いいから,0.00021527,63.7614,R3
580,いく,0.00021442,63.7829,R3
581,捨てる,0.00021439,63.8043,R3
582,文,0.00021436,63.8257,R3
583,とにかく,0.00021345,63.8471,R3
584,料理,0.00021339,63.8684,R3
585,強いる,0.00021245,63.8897,R3
586,け,0.00021236,63.9109,R3
587,面白い,0.00021195,63.9321,R3
588,辞める,0.00021169,63.9533,R3
589,竹刀,0.00021160,63.9744,R3
590,行,0.00021081,63.9955,R3
591,こいつ,0.00021022,64.0165,R3
592,返す,0.00021022,64.0375,R3
593,伝える,0.00020949,64.0585,R3
594,理由,0.00020913,64.0794,R3
595,高い,0.00020872,64.1003,R3
596,何とか,0.00020864,64.1211,R3
597,にとって,0.00020808,64.1419,R3
598,全く,0.00020690,64.1626,R3
599,かよ,0.00020676,64.1833,R3
600,部,0.00020591,64.2039,R3
601,そんなに,0.00020511,64.2244,R3
602,砲,0.00020488,64.2449,R3
603,旦那,0.00020447,64.2653,R3
604,もらって,0.00020421,64.2858,R3
605,黙る,0.00020379,64.3061,R3
606,っていうか,0.00020377,64.3265,R3
607,そっか,0.00020335,64.3469,R3
608,患者,0.00020309,64.3672,R3
609,似付く,0.00020227,64.3874,R3
610,明朝体,0.00020171,64.4076,R3
611,勝つ,0.00020154,64.4277,R3
612,現場,0.00020133,64.4479,R3
613,回,0.00019954,64.4678,R3
614,疲れる,0.00019922,64.4877,R3
615,落ちる,0.00019901,64.5076,R3
616,被害者,0.00019875,64.5275,R3
617,のこ,0.00019840,64.5473,R3
618,ごろ,0.00019837,64.5672,R3
619,側,0.00019813,64.5870,R3
620,情報,0.00019763,64.6068,R3
621,宝,0.00019711,64.6265,R3
622,七日,0.00019666,64.6461,R3
623,間,0.00019614,64.6657,R3
624,ったら,0.00019532,64.6853,R3
625,なんでも,0.00019517,64.7048,R3
626,今まで,0.00019438,64.7242,R3
627,父親,0.00019408,64.7436,R3
628,長い,0.00019391,64.7630,R3
629,一人,0.00019341,64.7824,R3
630,落ち着く,0.00019279,64.8017,R3
631,槍,0.00019273,64.8209,R3
632,もらう,0.00019241,64.8402,R3
633,確認,0.00019197,64.8594,R3
634,申す,0.00019185,64.8786,R3
635,若い,0.00019179,64.8977,R3
636,ところで,0.00019130,64.9169,R3
637,だれも,0.00019109,64.9360,R3
638,絶対に,0.00019062,64.9550,R3
639,負ける,0.00019059,64.9741,R3
640,消火,0.00019056,64.9931,R3
641,ながら,0.00019053,65.0122,R3
642,あるの,0.00019050,65.0312,R3
643,かい,0.00019024,65.0503,R3
644,携帯,0.00018974,65.0692,R3
645,選ぶ,0.00018971,65.0882,R3
646,つま,0.00018927,65.1071,R3
647,いつ,0.00018848,65.1260,R3
648,里,0.00018822,65.1448,R3
649,もしかして,0.00018813,65.1636,R3
650,他,0.00018681,65.1823,R3
651,部長,0.00018657,65.2010,R3
652,まま,0.00018599,65.2196,R3
653,可能性,0.00018581,65.2381,R3
654,大,0.00018578,65.2567,R3
655,じゃね,0.00018511,65.2752,R3
656,間違う,0.00018417,65.2937,R3
657,よろしくお願いします,0.00018364,65.3120,R3
658,ばかり,0.00018349,65.3304,R3
659,朝,0.00018349,65.3487,R3
660,ダメ,0.00018308,65.3670,R3
661,認める,0.00018293,65.3853,R3
662,地,0.00018290,65.4036,R3
663,証拠,0.00018229,65.4218,R3
664,寸,0.00018197,65.4400,R3
665,戦う,0.00018164,65.4582,R3
666,答える,0.00018147,65.4763,R3
667,おはよう,0.00018076,65.4944,R3
668,一体,0.00018056,65.5125,R3
669,隠す,0.00018047,65.5305,R3
670,始まる,0.00018032,65.5486,R3
671,亡くなる,0.00018000,65.5666,R3
672,らしい,0.00017971,65.5845,R3
673,探す,0.00017965,65.6025,R3
674,へえ,0.00017915,65.6204,R3
675,分かんない,0.00017912,65.6383,R3
676,課長,0.00017903,65.6562,R3
677,慕う,0.00017842,65.6741,R3
678,早い,0.00017830,65.6919,R3
679,諦める,0.00017736,65.7096,R3
680,労,0.00017668,65.7273,R3
681,恋,0.00017639,65.7449,R3
682,参る,0.00017633,65.7626,R3
683,あり,0.00017627,65.7802,R3
684,そうですね,0.00017604,65.7978,R3
685,字,0.00017604,65.8154,R3
686,ばっかり,0.00017589,65.8330,R3
687,やだ,0.00017586,65.8506,R3
688,大切,0.00017457,65.8680,R3
689,屎,0.00017437,65.8855,R3
690,賞,0.00017434,65.9029,R3
691,帰ってくる,0.00017419,65.9203,R3
692,気になる,0.00017393,65.9377,R3
693,そりゃ,0.00017343,65.9551,R3
694,急に,0.00017284,65.9723,R3
695,辛い,0.00017264,65.9896,R3
696,最高,0.00017261,66.0069,R3
697,仲間,0.00017252,66.0241,R3
698,ことがある,0.00017220,66.0413,R3
699,元,0.00017129,66.0585,R3
700,優しい,0.00017102,66.0756,R3
701,切る,0.00017096,66.0927,R3
702,殊に,0.00017058,66.1097,R3
703,白い,0.00017000,66.1267,R3
704,愚,0.00016844,66.1436,R3
705,夫,0.00016835,66.1604,R3
706,しまう,0.00016832,66.1772,R3
707,１つ,0.00016823,66.1941,R3
708,国,0.00016800,66.2109,R3
709,変える,0.00016800,66.2277,R3
710,一緒,0.00016797,66.2445,R3
711,似寄る,0.00016747,66.2612,R3
